,Model,Weeks ahead,Location,RMSE,NRMSE,MAPE
32,BPagano-RtDriven,1,NV,14.92788082749859,0.3317306850555242,36.28693234356854
33,BPagano-RtDriven,1,NY,23.497612446090493,0.19581343705075407,22.356474860782388
34,BPagano-RtDriven,1,OH,57.41289344374949,0.7267454866297404,800346726.266094
35,BPagano-RtDriven,1,OK,290.9454884972728,0.2046030158208669,820187548.9526774
36,BPagano-RtDriven,1,OR,25.46507273207756,0.32234269281110833,45.401951661559345
37,BPagano-RtDriven,1,PA,31.94309903693337,0.2852062414011908,32.50431107454108
38,BPagano-RtDriven,1,RI,2.554823232632739,0.28386924807030434,40509066.32869432
39,BPagano-RtDriven,1,SC,27.268912719737592,0.38955589599625134,127.40887551549531
40,BPagano-RtDriven,1,SD,2.9446771328392973,0.36808464160491217,75.11461089065254
41,BPagano-RtDriven,1,TN,23.964975285125302,0.25768790629167,56.30212422106497
42,BPagano-RtDriven,1,TX,44.47700594220943,0.2985033955852983,47.56487778373823
43,BPagano-RtDriven,1,US,356.80414892078164,0.21352731832482447,20.245613916137785
44,BPagano-RtDriven,1,UT,5.910899607222801,0.3283833115123778,34.671868444055946
45,BPagano-RtDriven,1,VA,36.11343042530484,0.29123734213955516,86.21655759977031
46,BPagano-RtDriven,1,VT,2.5479193472321686,0.42465322453869475,52211172.04055556
47,BPagano-RtDriven,1,WA,27.100845131348454,0.4044902258410217,26.271388376065097
48,BPagano-RtDriven,1,WI,10.66268236264528,0.333208823832665,34.005176309642124
49,BPagano-RtDriven,1,WV,13.219503637302978,0.38880893050891113,80.71714800946003
50,BPagano-RtDriven,1,WY,4.584090067832438,0.41673546071203976,125306250.61238953
51,BPagano-RtDriven,2,AK,9.051407489747357,0.3771419787394732,370505729.8713991
52,BPagano-RtDriven,2,AL,34.453586443477576,0.3281293946997865,108.07576654953948
53,BPagano-RtDriven,2,AR,12.529047834387242,0.31322619585968103,48.42570779711413
54,BPagano-RtDriven,2,AZ,9.41849904081421,0.3247758289935934,14.178437883321537
55,BPagano-RtDriven,2,CA,59.29321457422808,0.2810104956124554,25.9150505332175
56,BPagano-RtDriven,2,CO,28.31163037115184,0.5777883749214661,165.72124097209442
57,BPagano-RtDriven,2,CT,19.454954711285808,0.30398366736384075,65.22670762856691
58,BPagano-RtDriven,2,DC,2.7921736400810815,0.3102415155645646,30500922.284903582
59,BPagano-RtDriven,2,DE,8.815313452891353,0.32649309084782785,171.74347410165592
60,BPagano-RtDriven,2,FL,95.28873564736142,0.37515250254866706,20.042834847464384
61,BPagano-RtDriven,2,GA,33.46314217979917,0.4583992079424544,28.492858662861593
62,BPagano-RtDriven,2,IA,19.327853774939793,0.34514024598106774,64.24815010493205
63,BPagano-RtDriven,2,ID,7.393027894884846,0.3214359954297759,47.128191427084225
64,BPagano-RtDriven,2,IL,31.014723373086706,0.3736713659408037,30.91542632082952
65,BPagano-RtDriven,2,IN,14.687606754737756,0.28799228930858345,36.27054964232059
66,BPagano-RtDriven,2,KS,26.117295011682828,0.2720551563716961,316.03731705347747
67,BPagano-RtDriven,2,KY,17.37930651142852,0.4456232438827825,29.776508758277608
68,BPagano-RtDriven,2,LA,11.648839817377056,0.17921292026733934,66.8979617857276
69,BPagano-RtDriven,2,MA,17.315448819426596,0.35337650651891006,28.69184049504626
70,BPagano-RtDriven,2,MD,7.1783030154639045,0.2658630746468113,16.864096931728003
71,BPagano-RtDriven,2,ME,15.517848193143742,0.36947257602723205,99110945.14849173
72,BPagano-RtDriven,2,MI,35.0047065601704,0.3182246050924582,32.941165720851686
73,BPagano-RtDriven,2,MN,10.201029114751119,0.4080411645900448,26.376692875897987
74,BPagano-RtDriven,2,MO,30.812323960035567,0.45312241117699376,47.03528352269053
75,BPagano-RtDriven,2,MS,10.524270020032052,0.2844397302711365,70.01197505081423
76,BPagano-RtDriven,2,MT,7.404659816628985,0.4627912385393116,84250577.79594944
77,BPagano-RtDriven,2,NC,144.69641899445259,0.3008241559136229,132.63017061662305
78,BPagano-RtDriven,2,ND,4.905091195519573,0.2885347762070337,45355456.4182412
79,BPagano-RtDriven,2,NE,20.87116355383449,0.40923850105557824,261605097.2068387
80,BPagano-RtDriven,2,NH,4.8817385502223765,0.40681154585186474,51.83133772792864
81,BPagano-RtDriven,2,NJ,16.71659294071177,0.5223935293972428,27.172840135885252
82,BPagano-RtDriven,2,NM,47.015043121614525,0.3984325688272417,74.24457981008419
83,BPagano-RtDriven,2,NV,18.006056327095767,0.4001345850465726,44.677860878083784
84,BPagano-RtDriven,2,NY,30.574616126334725,0.25478846771945596,23.097468812573812
85,BPagano-RtDriven,2,OH,62.692912448479596,0.7935811702339189,904175427.9330208
