,Model,Weeks ahead,Location,LS,CRPS,CS
173,BPagano-RtDriven,4,ME,-3.096552806922259,6.9634676685384305,0.18288888321816935
174,BPagano-RtDriven,4,MI,-3.278356356238603,26.27884554002537,0.07128888478279118
175,BPagano-RtDriven,4,MN,-2.964893033908832,6.169361833013681,0.09246667245328415
176,BPagano-RtDriven,4,MO,-2.8486485729918414,18.695553073452757,0.18675554866790783
177,BPagano-RtDriven,4,MS,-2.8294355944410188,8.63927646284947,0.1488888958096503
178,BPagano-RtDriven,4,MT,-3.0387228127901453,4.7575682666665555,0.11742221188247215
179,BPagano-RtDriven,4,NC,-4.459137439619569,70.06589780897207,0.3072444417208434
180,BPagano-RtDriven,4,ND,-4.523419295224388,3.681948045825715,0.23288888344168676
181,BPagano-RtDriven,4,NE,-3.3620608058724066,9.851503451897683,0.2087333266526462
182,BPagano-RtDriven,4,NH,-2.5965962018963826,1.975454059541127,0.13646666738688937
183,BPagano-RtDriven,4,NJ,-3.459655810993958,14.050100860935451,0.06204444052875042
184,BPagano-RtDriven,4,NM,-4.444198444908902,33.787520268031514,0.15684443687796606
185,BPagano-RtDriven,4,NV,-2.9406798765577973,13.255009264210907,0.06851111208796497
186,BPagano-RtDriven,4,NY,-2.7476044146329164,26.18910862491235,0.1457999959766865
187,BPagano-RtDriven,4,OH,-4.135722702405377,41.22313563125292,0.20955554658174527
188,BPagano-RtDriven,4,OK,-3.071276232168799,101.3995266407009,0.18066665948927416
189,BPagano-RtDriven,4,OR,-2.7951833108870288,17.889239844939706,0.07871111082136631
190,BPagano-RtDriven,4,PA,-2.838753226314842,23.247960285388306,0.07886667476296419
191,BPagano-RtDriven,4,RI,-2.702457036628645,1.5273550686333444,0.1336666612029076
192,BPagano-RtDriven,4,SC,-5.264636467542239,33.07044203349132,0.44511111037433154
193,BPagano-RtDriven,4,SD,-2.710618545177754,1.6538863472057317,0.08564444075226782
194,BPagano-RtDriven,4,TN,-2.876079519733778,14.911844724282178,0.10697778252959243
195,BPagano-RtDriven,4,TX,-3.0584880664170093,41.15041047988754,0.09091111588776116
196,BPagano-RtDriven,4,US,-3.901172587499942,352.7858574509585,0.17377778185904014
197,BPagano-RtDriven,4,UT,-3.100210490499557,5.087379817460185,0.11417778342366208
198,BPagano-RtDriven,4,VA,-4.302781248695786,25.554281847238638,0.13548888426125058
199,BPagano-RtDriven,4,VT,-4.01922186769485,1.4110174186871194,0.14957777515351783
200,BPagano-RtDriven,4,WA,-2.8301432078740922,16.669191414791232,0.0642222296148538
201,BPagano-RtDriven,4,WI,-3.017125754151275,9.587392156136561,0.09726666455566886
202,BPagano-RtDriven,4,WV,-3.081617487886693,9.3320797507384,0.07015555962026118
203,BPagano-RtDriven,4,WY,-2.8621924602547026,2.723467171928548,0.09513332806825645
204,CEID-Walk,1,AK,-10.0,66.66666666666666,0.18480000476837163
205,CEID-Walk,1,AL,-4.6326685242312315,24.063555417439986,0.29399999560415757
206,CEID-Walk,1,AR,-2.445035268404053,6.87138294421805,0.07966666299104694
207,CEID-Walk,1,AZ,-3.123943822908958,9.356890035472706,0.09324444976747039
208,CEID-Walk,1,CA,-3.3249817776344393,38.235840259406565,0.09453332523703586
209,CEID-Walk,1,CO,-3.298675125275439,11.554992756172645,0.06026666492819791
